,x,y
7,-81.0,5.0
8,-31.0,-2.0
0,46.0,7.0
1,77.0,0.0
2,-71.0,12.0
3,47.0,16.0
0,-51.0,-16.0
1,-87.0,-6.0
2,-77.0,-20.0
3,-74.0,-6.0
4,-82.0,-2.0
5,85.0,6.0
6,66.0,-5.0
0,81.0,6.0
1,-83.0,-3.0
2,80.0,0.0
3,-73.0,-1.0
4,81.0,0.0
5,-75.0,-8.0
6,-70.0,18.0
7,83.0,7.0
8,-82.0,5.0
0,94.0,16.0
1,75.0,14.0
2,83.0,4.0
3,-32.0,10.0
4,62.0,-25.0
5,-82.0,-4.0
0,-72.0,15.0
1,-81.0,6.0
2,63.0,15.0
3,-81.0,-3.0
4,79.0,-19.0
5,-74.0,9.0
0,76.0,3.0
1,-80.0,-7.0
2,79.0,4.0
0,72.0,1.0
1,-39.0,2.0
2,69.0,-3.0
3,70.0,-15.0
4,39.0,17.0
5,80.0,-1.0
6,67.0,-9.0
7,79.0,5.0
8,-68.0,4.0
0,64.0,12.0
1,-83.0,-7.0
2,-73.0,0.0
3,76.0,-7.0
4,70.0,3.0
0,-64.0,-8.0
1,78.0,7.0
2,77.0,5.0
3,67.0,25.0
4,71.0,18.0
0,-74.0,20.0
1,79.0,4.0
2,-59.0,2.0
3,76.0,25.0
4,80.0,1.0
0,-81.0,1.0
1,-84.0,-14.0
0,-65.0,4.0
1,-70.0,2.0
2,-68.0,-27.0
3,-87.0,-2.0
0,64.0,6.0
1,61.0,-23.0
2,61.0,-11.0
3,80.0,1.0
4,-69.0,-4.0
5,-63.0,6.0
0,87.0,17.0
1,77.0,-1.0
2,64.0,-8.0
3,77.0,-10.0
4,-65.0,7.0
5,-73.0,0.0
6,61.0,-7.0
0,-68.0,13.0
1,-75.0,0.0
2,-57.0,0.0
3,62.0,-4.0
4,-72.0,-2.0
5,76.0,-12.0
6,-76.0,3.0
0,-72.0,-3.0
1,-59.0,13.0
2,-60.0,6.0
3,-75.0,-2.0
4,62.0,0.0
5,81.0,10.0
6,-68.0,22.0
0,72.0,-2.0
1,-76.0,-11.0
0,70.0,-7.0
1,-80.0,-6.0
2,91.0,8.0
3,61.0,2.0
0,91.0,-11.0
1,-67.0,-3.0
2,-75.0,8.0
0,-52.0,23.0
1,50.0,16.0
2,75.0,-2.0
3,-82.0,-5.0
0,64.0,-5.0
1,-64.0,-21.0
2,-83.0,0.0
3,48.0,3.0
4,83.0,-4.0
5,77.0,0.0
6,-75.0,2.0
7,-71.0,-15.0
8,84.0,-15.0
9,87.0,-6.0
10,85.0,8.0
0,-33.0,-9.0
1,-65.0,-22.0
2,-82.0,-6.0
3,80.0,5.0
4,82.0,24.0
5,-78.0,-1.0
0,51.0,-28.0
1,-52.0,11.0
2,34.0,-13.0
3,83.0,6.0
4,-78.0,1.0
5,61.0,-3.0
